AuthorID,Author,Date,Content,Attachments,Reactions
"458738156695584770","The_Siber#3448","08-Mar-21 08:25 AM","🇪🇸 Vale. Pensábamos que tras tanto reclutamiento, este servidor tendría mas actividad, especialmente el servidor de MC, al que generalmente damos entrada gratuita sin mas requisito que tener ganas de ello. Aun así, se ve que no, que estamos jugando los 3 de siempre, con entrada excepcional de ManuelEndler y ManuMC. Además, mucha gente ni habla por el Discord, siendo simplemente espectadores de conversaciones. Ahora mismo hay 60 personas en el Discord, de las cuales 22 están todavía a nivel 0 en el MEE6. Es para lo que está aquí este canal.","",""
"458738156695584770","The_Siber#3448","08-Mar-21 08:30 AM","🇬🇧 Okay. We thought that after so much recruitment, this server would be much more active, especialy the MC server, which has free access only by asking for it. Funny enough, this is as dead as usual. There are only 3 active players in the MC server, with rare appearances made by ManuelEndler and ManuMC. Apart from that, most people don't even talk through the Discord server itself, being mere spectators, which is another of the reasons I created the server. As you know, we have levels on this server. Out of the 60 people on the server, most don't talk, leading to 22 being still at level 0. Due to all of this, I have been given emergency powers to purge the server.","",""
"458738156695584770","The_Siber#3448","08-Mar-21 08:43 AM","🇪🇸 Si por alguna razón no os habeis enterado de la apertura del server y quereis entrar, contactad con @mariv1k para que os den el rol de @✔️ Member. Os dará acceso a #✅members, donde está la IP en los 📌 pinned messages.","",""
"458738156695584770","The_Siber#3448","08-Mar-21 08:51 AM","🇬🇧 If for any reason you have not found about the server's opening, and you are willing to join in, contact @mariv1k to be given the role of @✔️ Member which will give you access to #✅members, where the IP is pinned 📌.","",""
"458738156695584770","The_Siber#3448","08-Mar-21 08:58 AM","(U can also contact me or @SISPLAU  to get the member role)","",""
"458738156695584770","The_Siber#3448","08-Mar-21 09:01 AM","In the next set of days you will be @-ed, and I will wait for a response. Not answering this mention in 48 hours will result in a kick.","",""
"458738156695584770","The_Siber#3448","08-Mar-21 09:02 AM","En los siguientes dias voy a hacer @ a la gente. No responder en 48 horas resultara en un kick.","",""
"458738156695584770","The_Siber#3448","08-Mar-21 09:22 AM","Mario doesn't allow me to @everyone so here I tagged mostly everyone manually (also 60 is the people that have been in the server, even the ones who left)
@arthursky @Camaloran @dreamwalker. @valce😻 @y0gur @Killermanjer @2019Dragon @alxsd01 @Arma_7x @AxiosX @Billy552 @Dablestation @Demiphius @alextoomeme @funeria @GalaxyTraveler @GaliGoat @Deleted User @HeyMaat @julenpro20 @Snowwy @miguel6761 @Nitro @Nogassov @IM WaTeR @Ramonchu07 @ReneSchmitke @SantiF @spotify_premium @SuperVaca @Syntez @Tenov @Carlol @santiac","",""
"400578808094130186","GaliGoat#1176","08-Mar-21 09:56 AM","Mas tageau 4 veces culiao","",""
"691355112043446373","Camaloran#0497","08-Mar-21 09:57 AM","Y... esto que significa?","",""
"458738156695584770","The_Siber#3448","08-Mar-21 10:40 AM","La gente inactiva se va","",""
"458738156695584770","The_Siber#3448","08-Mar-21 10:40 AM","Entre otras cosas","",""
"458738156695584770","The_Siber#3448","08-Mar-21 10:40 AM","Si quieres jugar al server no cambia nada para ti, solo pude el rol","",""
"458738156695584770","The_Siber#3448","08-Mar-21 10:40 AM","@Camaloran","",""
"458738156695584770","The_Siber#3448","08-Mar-21 10:41 AM","También te puedes quedar sin jugar si hablas y eso","",""
"458738156695584770","The_Siber#3448","08-Mar-21 10:41 AM","Pero lo que no queremos es que este esto lleno de muertos xd","",""
"622141448980135937","Carlol#8642","08-Mar-21 10:49 AM","Pene","",""
"355636164897669122","SISPLAU#7555","08-Mar-21 10:49 AM",":GOTOHORNYJAIL:","",""
"458738156695584770","The_Siber#3448","08-Mar-21 10:59 AM","Manu este es un canal serio","",""
"458738156695584770","The_Siber#3448","08-Mar-21 10:59 AM","No me hagas mutearte","",""
"458738156695584770","The_Siber#3448","08-Mar-21 10:59 AM","El humor para cuando toca","",""
"458738156695584770","The_Siber#3448","08-Mar-21 11:00 AM","Hay un problema en el servidor y estoy intentando arreglarlo","",""
"458738156695584770","The_Siber#3448","08-Mar-21 11:00 AM","Ademas tengo acceso ilimitado al banhammer así que no me toques las pelotas o te echo","",""
"458738156695584770","The_Siber#3448","08-Mar-21 11:00 AM","Voy muy en serio con la purga esta como creo que ya he dejado claro","",""
"293091785930964992","spotify_premium#0679","08-Mar-21 11:01 AM","Pero que pasa con ese mensaje?","",""
"458738156695584770","The_Siber#3448","08-Mar-21 11:04 AM","cual de ellos","",""
